   10.0000000      0.954929650       0.00000000    
   10.0000000     -0.621354878      -7.48485851       35.8999863    
   10.0000000      -1.65068924      -7.87445784       71.8001022    
   10.0000000     -0.880392969      -7.19717693       107.700218    
   10.0000000      -1.52746201      -7.69699001       143.600006    
   10.0000000      -1.72870231      -7.83173752       179.499359    
   10.0000000      -1.25675046      -7.21791840       215.398712    
   10.0000000      -1.76452768      -7.71183825       251.298065    
   10.0000000      -1.26942945      -7.04042006       287.198730    
   10.0000000      -1.67705405      -7.48141003       323.099609    
   10.0000000      -1.10199821      -6.61574173       359.000488    
   10.1000004      0.954929650       0.00000000    
   10.1000004     -0.800817013      -7.30761862       35.8999863    
   10.1000004     -0.398706526      -7.76076794       71.8001022    
   10.1000004      -1.52348089      -7.74438858       107.700218    
   10.1000004     -0.723444641      -7.31564283       143.600006    
   10.1000004      -1.01469123      -7.07907724       179.499359    
   10.1000004     -0.853938937      -7.06045103       215.398712    
   10.1000004      -1.52104783      -7.50213385       251.298065    
   10.1000004      -1.28865087      -7.09352589       287.198730    
   10.1000004     -0.199389458      -7.57054329       323.099609    
   10.1000004      -1.73516273      -7.46579409       359.000488    
   10.2000008      0.954929650       0.00000000    
   10.2000008     -0.947679996      -7.23658228       35.8999863    
   10.2000008     -0.772685468      -7.34275579       71.8001022    
   10.2000008     -0.392296165      -7.76560307       107.700218    
   10.2000008      -1.42345059      -7.61075544       143.600006    
   10.2000008     -0.313114822      -7.77346563       179.499359    
   10.2000008     -0.289984465      -7.73646402       215.398712    
   10.2000008      -1.19066453      -7.08004189       251.298065    
   10.2000008      -1.21092498      -7.01668739       287.198730    
   10.2000008     -0.446867555      -7.31757355       323.099609    
   10.2000008     -0.484481841      -7.17034101       359.000488    
   10.3000011      0.954929650       0.00000000    
   10.3000011      -1.16932058      -7.38629818       35.8999863    
   10.3000011      -1.15738475      -7.35896158       71.8001022    
   10.3000011     -0.928710818      -7.23098898       107.700218    
   10.3000011     -0.607522666      -7.49119043       143.600006    
   10.3000011      -1.32846868      -7.45731974       179.499359    
   10.3000011      -1.53878903      -7.65221691       215.398712    
   10.3000011     -0.925869703      -6.96036530       251.298065    
   10.3000011      -1.14530718      -6.95998049       287.198730    
   10.3000011     -0.672401011      -7.01786327       323.099609    
   10.3000011     -0.874571919      -6.69501877       359.000488    
   10.4000015      0.954929650       0.00000000    
   10.4000015      -1.42931008      -7.72682047       35.8999863    
   10.4000015      -1.60213315      -7.90021038       71.8001022    
   10.4000015      -1.60335922      -7.88218021       107.700218    
   10.4000015      -1.38635385      -7.60590553       143.600006    
   10.4000015     -0.758827448      -7.28228188       179.499359    
   10.4000015      -1.05759668      -7.09171963       215.398712    
   10.4000015     -0.767325759      -7.10451365       251.298065    
   10.4000015      -1.14761508      -6.98764801       287.198730    
   10.4000015     -0.865464628      -6.84409523       323.099609    
   10.4000015      -1.26018286      -6.92040396       359.000488    
   10.5000019      0.954929650       0.00000000    
   10.5000019      -1.64457357      -7.96508884       35.8999863    
   10.5000019     -0.276163816      -7.94248390       71.8001022    
   10.5000019     -0.590852201      -7.58082867       107.700218    
   10.5000019     -0.513720214      -7.64452457       143.600006    
   10.5000019      -1.68410814      -7.88927889       179.499359    
   10.5000019     -0.648903906      -7.36254454       215.398712    
   10.5000019     -0.416566104      -7.57287073       251.298065    
   10.5000019      -1.03118539      -6.91145134       287.198730    
   10.5000019     -0.948600948      -6.81248951       323.099609    
   10.5000019      -1.66844773      -7.49390268       359.000488    
   10.6000023      0.954929650       0.00000000    
   10.6000023      -1.91103768      -8.10409260       35.8999863    
   10.6000023     -0.779945791      -7.41566467       71.8001022    
   10.6000023      -1.03915381      -7.28930855       107.700218    
   10.6000023      -1.18959379      -7.39545584       143.600006    
   10.6000023     -0.881237209      -7.23082113       179.499359    
   10.6000023      -1.68465626      -7.84696484       215.398712    
   10.6000023      -1.72207952      -7.79818630       251.298065    
   10.6000023     -0.885373712      -6.97248793       287.198730    
   10.6000023     -0.967705071      -6.83225346       323.099609    
   10.6000023     -0.115383901      -7.64650917       359.000488    
   10.7000027      0.954929650       0.00000000    
   10.7000027     -0.364524901      -7.89935160       35.8999863    
   10.7000027      -1.04746616      -7.33607388       71.8001022    
   10.7000027      -1.69136453      -8.00024986       107.700218    
   10.7000027     -0.220289528      -7.97220993       143.600006    
   10.7000027      -1.15334569E-02  -8.02798748       179.499359    
   10.7000027      -1.15613222      -7.24833298       215.398712    
   10.7000027      -1.41555965      -7.49124432       251.298065    
   10.7000027     -0.831171632      -7.03393459       287.198730    
   10.7000027      -1.09253228      -6.91004229       323.099609    
   10.7000027     -0.633231819      -7.07117891       359.000488    
   10.8000031      0.954929650       0.00000000    
   10.8000031     -0.669455826      -7.57289267       35.8999863    
   10.8000031      -1.52023375      -7.88206530       71.8001022    
   10.8000031     -0.659891427      -7.55135155       107.700218    
