tiempo	 $x$	 $y$	 $z$	 $w$	 
2.000000e-03	5.408327e+00	5.547057e-01	-5.547002e-01	-5.541513e+00
4.000000e-03	5.408327e+00	5.547222e-01	-5.547002e-01	-5.536030e+00
6.000000e-03	5.408327e+00	5.547496e-01	-5.547002e-01	-5.530552e+00
8.000000e-03	5.408327e+00	5.547880e-01	-5.547002e-01	-5.525080e+00
1.000000e-02	5.408326e+00	5.548374e-01	-5.547002e-01	-5.519613e+00
1.200000e-02	5.408326e+00	5.548977e-01	-5.547002e-01	-5.514151e+00
1.400000e-02	5.408326e+00	5.549690e-01	-5.547002e-01	-5.508695e+00
1.600000e-02	5.408325e+00	5.550512e-01	-5.547002e-01	-5.503245e+00
1.800000e-02	5.408324e+00	5.551443e-01	-5.547002e-01	-5.497800e+00
2.000000e-02	5.408323e+00	5.552484e-01	-5.547002e-01	-5.492360e+00
2.200000e-02	5.408322e+00	5.553634e-01	-5.547002e-01	-5.486926e+00
2.400000e-02	5.408321e+00	5.554894e-01	-5.547002e-01	-5.481497e+00
2.600000e-02	5.408319e+00	5.556262e-01	-5.547002e-01	-5.476074e+00
2.800000e-02	5.408317e+00	5.557740e-01	-5.547002e-01	-5.470656e+00
3.000000e-02	5.408315e+00	5.559326e-01	-5.547001e-01	-5.465244e+00
3.200000e-02	5.408312e+00	5.561022e-01	-5.547001e-01	-5.459837e+00
3.400000e-02	5.408309e+00	5.562826e-01	-5.547001e-01	-5.454435e+00
3.600000e-02	5.408306e+00	5.564740e-01	-5.547001e-01	-5.449039e+00
3.800000e-02	5.408302e+00	5.566762e-01	-5.547001e-01	-5.443648e+00
4.000000e-02	5.408298e+00	5.568892e-01	-5.547000e-01	-5.438262e+00
4.200000e-02	5.408293e+00	5.571132e-01	-5.547000e-01	-5.432882e+00
4.400000e-02	5.408288e+00	5.573480e-01	-5.546999e-01	-5.427508e+00
4.600000e-02	5.408282e+00	5.575937e-01	-5.546999e-01	-5.422138e+00
4.800000e-02	5.408276e+00	5.578502e-01	-5.546998e-01	-5.416774e+00
5.000000e-02	5.408270e+00	5.581175e-01	-5.546998e-01	-5.411416e+00
5.200000e-02	5.408263e+00	5.583957e-01	-5.546997e-01	-5.406062e+00
5.400000e-02	5.408255e+00	5.586847e-01	-5.546996e-01	-5.400714e+00
5.600000e-02	5.408247e+00	5.589846e-01	-5.546995e-01	-5.395372e+00
5.800000e-02	5.408238e+00	5.592952e-01	-5.546994e-01	-5.390035e+00
6.000000e-02	5.408228e+00	5.596167e-01	-5.546993e-01	-5.384703e+00
6.200000e-02	5.408218e+00	5.599489e-01	-5.546992e-01	-5.379376e+00
6.400000e-02	5.408207e+00	5.602920e-01	-5.546991e-01	-5.374055e+00
6.600000e-02	5.408196e+00	5.606458e-01	-5.546989e-01	-5.368739e+00
6.800000e-02	5.408184e+00	5.610104e-01	-5.546987e-01	-5.363428e+00
7.000000e-02	5.408171e+00	5.613858e-01	-5.546986e-01	-5.358123e+00
7.200000e-02	5.408157e+00	5.617720e-01	-5.546984e-01	-5.352823e+00
7.400000e-02	5.408142e+00	5.621690e-01	-5.546981e-01	-5.347528e+00
7.600000e-02	5.408127e+00	5.625766e-01	-5.546979e-01	-5.342239e+00
7.800000e-02	5.408111e+00	5.629951e-01	-5.546976e-01	-5.336955e+00
8.000000e-02	5.408094e+00	5.634243e-01	-5.546974e-01	-5.331676e+00
8.200000e-02	5.408076e+00	5.638642e-01	-5.546971e-01	-5.326402e+00
8.400000e-02	5.408057e+00	5.643148e-01	-5.546967e-01	-5.321134e+00
8.600000e-02	5.408037e+00	5.647762e-01	-5.546964e-01	-5.315871e+00
8.800000e-02	5.408017e+00	5.652483e-01	-5.546960e-01	-5.310613e+00
9.000000e-02	5.407995e+00	5.657310e-01	-5.546956e-01	-5.305361e+00
9.200000e-02	5.407973e+00	5.662245e-01	-5.546952e-01	-5.300113e+00
9.400000e-02	5.407949e+00	5.667287e-01	-5.546947e-01	-5.294871e+00
9.600000e-02	5.407925e+00	5.672436e-01	-5.546942e-01	-5.289635e+00
9.800000e-02	5.407899e+00	5.677691e-01	-5.546937e-01	-5.284403e+00
1.000000e-01	5.407872e+00	5.683053e-01	-5.546931e-01	-5.279177e+00
