tiempo	 $x$	 $y$	 $z$	 $w$	 
2.000000e-03	-5.505385e+00	-6.540465e-01	6.528038e-01	5.646911e+00
4.000000e-03	-5.502773e+00	-6.540879e-01	6.516242e-01	5.646824e+00
6.000000e-03	-5.500162e+00	-6.541244e-01	6.504608e-01	5.646737e+00
8.000000e-03	-5.497554e+00	-6.541558e-01	6.493136e-01	5.646652e+00
1.000000e-02	-5.494948e+00	-6.541821e-01	6.481822e-01	5.646568e+00
1.200000e-02	-5.492345e+00	-6.542035e-01	6.470666e-01	5.646485e+00
1.400000e-02	-5.489743e+00	-6.542198e-01	6.459665e-01	5.646403e+00
1.600000e-02	-5.487144e+00	-6.542310e-01	6.448818e-01	5.646322e+00
1.800000e-02	-5.484547e+00	-6.542373e-01	6.438122e-01	5.646243e+00
2.000000e-02	-5.481952e+00	-6.542385e-01	6.427576e-01	5.646164e+00
2.200000e-02	-5.479359e+00	-6.542347e-01	6.417179e-01	5.646086e+00
2.400000e-02	-5.476768e+00	-6.542258e-01	6.406928e-01	5.646010e+00
2.600000e-02	-5.474179e+00	-6.542119e-01	6.396821e-01	5.645934e+00
2.800000e-02	-5.471592e+00	-6.541930e-01	6.386858e-01	5.645860e+00
3.000000e-02	-5.469008e+00	-6.541691e-01	6.377036e-01	5.645786e+00
3.200000e-02	-5.466425e+00	-6.541401e-01	6.367353e-01	5.645713e+00
3.400000e-02	-5.463844e+00	-6.541060e-01	6.357808e-01	5.645642e+00
3.600000e-02	-5.461265e+00	-6.540670e-01	6.348400e-01	5.645571e+00
3.800000e-02	-5.458689e+00	-6.540229e-01	6.339127e-01	5.645501e+00
4.000000e-02	-5.456114e+00	-6.539738e-01	6.329986e-01	5.645432e+00
4.200000e-02	-5.453541e+00	-6.539196e-01	6.320978e-01	5.645364e+00
4.400000e-02	-5.450970e+00	-6.538604e-01	6.312099e-01	5.645297e+00
4.600000e-02	-5.448400e+00	-6.537961e-01	6.303349e-01	5.645231e+00
4.800000e-02	-5.445833e+00	-6.537269e-01	6.294726e-01	5.645166e+00
5.000000e-02	-5.443268e+00	-6.536525e-01	6.286228e-01	5.645101e+00
5.200000e-02	-5.440704e+00	-6.535732e-01	6.277855e-01	5.645037e+00
5.400000e-02	-5.438142e+00	-6.534888e-01	6.269604e-01	5.644974e+00
5.600000e-02	-5.435582e+00	-6.533993e-01	6.261474e-01	5.644912e+00
5.800000e-02	-5.433024e+00	-6.533049e-01	6.253464e-01	5.644851e+00
6.000000e-02	-5.430468e+00	-6.532053e-01	6.245573e-01	5.644791e+00
6.200000e-02	-5.427913e+00	-6.531008e-01	6.237799e-01	5.644731e+00
6.400000e-02	-5.425360e+00	-6.529912e-01	6.230140e-01	5.644672e+00
6.600000e-02	-5.422809e+00	-6.528765e-01	6.222595e-01	5.644614e+00
6.800000e-02	-5.420259e+00	-6.527568e-01	6.215163e-01	5.644556e+00
7.000000e-02	-5.417712e+00	-6.526321e-01	6.207843e-01	5.644500e+00
7.200000e-02	-5.415166e+00	-6.525023e-01	6.200634e-01	5.644444e+00
7.400000e-02	-5.412621e+00	-6.523675e-01	6.193533e-01	5.644388e+00
7.600000e-02	-5.410079e+00	-6.522276e-01	6.186540e-01	5.644334e+00
7.800000e-02	-5.407538e+00	-6.520827e-01	6.179654e-01	5.644280e+00
8.000000e-02	-5.404999e+00	-6.519327e-01	6.172873e-01	5.644227e+00
8.200000e-02	-5.402461e+00	-6.517777e-01	6.166196e-01	5.644174e+00
8.400000e-02	-5.399925e+00	-6.516176e-01	6.159622e-01	5.644122e+00
8.600000e-02	-5.397391e+00	-6.514525e-01	6.153150e-01	5.644071e+00
8.800000e-02	-5.394858e+00	-6.512824e-01	6.146778e-01	5.644021e+00
9.000000e-02	-5.392327e+00	-6.511072e-01	6.140505e-01	5.643971e+00
9.200000e-02	-5.389797e+00	-6.509269e-01	6.134331e-01	5.643921e+00
9.400000e-02	-5.387269e+00	-6.507416e-01	6.128254e-01	5.643873e+00
9.600000e-02	-5.384743e+00	-6.505512e-01	6.122273e-01	5.643824e+00
9.800000e-02	-5.382218e+00	-6.503558e-01	6.116386e-01	5.643777e+00
1.000000e-01	-5.379695e+00	-6.501553e-01	6.110593e-01	5.643730e+00
1.020000e-01	-5.377173e+00	-6.499498e-01	6.104893e-01	5.643683e+00
1.040000e-01	-5.374653e+00	-6.497393e-01	6.099285e-01	5.643638e+00
1.060000e-01	-5.372135e+00	-6.495236e-01	6.093767e-01	5.643592e+00
1.080000e-01	-5.369618e+00	-6.493030e-01	6.088338e-01	5.643548e+00
1.100000e-01	-5.367102e+00	-6.490772e-01	6.082998e-01	5.643503e+00
1.120000e-01	-5.364588e+00	-6.488464e-01	6.077746e-01	5.643460e+00
1.140000e-01	-5.362076e+00	-6.486106e-01	6.072579e-01	5.643417e+00
1.160000e-01	-5.359565e+00	-6.483697e-01	6.067499e-01	5.643374e+00
1.180000e-01	-5.357055e+00	-6.481237e-01	6.062502e-01	5.643332e+00
1.200000e-01	-5.354547e+00	-6.478727e-01	6.057590e-01	5.643290e+00
1.220000e-01	-5.352041e+00	-6.476166e-01	6.052760e-01	5.643249e+00
1.240000e-01	-5.349536e+00	-6.473555e-01	6.048011e-01	5.643208e+00
1.260000e-01	-5.347032e+00	-6.470893e-01	6.043343e-01	5.643168e+00
1.280000e-01	-5.344530e+00	-6.468180e-01	6.038755e-01	5.643128e+00
1.300000e-01	-5.342029e+00	-6.465417e-01	6.034245e-01	5.643089e+00
1.320000e-01	-5.339530e+00	-6.462603e-01	6.029814e-01	5.643050e+00
1.340000e-01	-5.337032e+00	-6.459739e-01	6.025460e-01	5.643011e+00
1.360000e-01	-5.334536e+00	-6.456824e-01	6.021181e-01	5.642973e+00
1.380000e-01	-5.332041e+00	-6.453858e-01	6.016979e-01	5.642936e+00
1.400000e-01	-5.329548e+00	-6.450842e-01	6.012850e-01	5.642899e+00
1.420000e-01	-5.327056e+00	-6.447775e-01	6.008795e-01	5.642862e+00
1.440000e-01	-5.324565e+00	-6.444657e-01	6.004813e-01	5.642825e+00
1.460000e-01	-5.322076e+00	-6.441489e-01	6.000903e-01	5.642789e+00
1.480000e-01	-5.319588e+00	-6.438270e-01	5.997064e-01	5.642754e+00
1.500000e-01	-5.317102e+00	-6.435001e-01	5.993295e-01	5.642718e+00
1.520000e-01	-5.314617e+00	-6.431681e-01	5.989596e-01	5.642684e+00
1.540000e-01	-5.312133e+00	-6.428310e-01	5.985965e-01	5.642649e+00
1.560000e-01	-5.309651e+00	-6.424888e-01	5.982402e-01	5.642615e+00
1.580000e-01	-5.307170e+00	-6.421416e-01	5.978907e-01	5.642581e+00
1.600000e-01	-5.304691e+00	-6.417893e-01	5.975478e-01	5.642548e+00
1.620000e-01	-5.302213e+00	-6.414320e-01	5.972114e-01	5.642515e+00
1.640000e-01	-5.299736e+00	-6.410696e-01	5.968816e-01	5.642482e+00
