tiempo	 $x$	 $y$	 $z$	 $w$	 
2.000000e-03	5.406108e+00	5.546980e-01	-5.546990e-01	-5.547002e+00
4.000000e-03	5.403889e+00	5.546913e-01	-5.546952e-01	-5.547002e+00
6.000000e-03	5.401671e+00	5.546802e-01	-5.546890e-01	-5.547002e+00
8.000000e-03	5.399452e+00	5.546647e-01	-5.546802e-01	-5.547002e+00
1.000000e-02	5.397233e+00	5.546447e-01	-5.546689e-01	-5.547002e+00
1.200000e-02	5.395015e+00	5.546202e-01	-5.546549e-01	-5.547002e+00
1.400000e-02	5.392796e+00	5.545914e-01	-5.546383e-01	-5.547002e+00
1.600000e-02	5.390578e+00	5.545580e-01	-5.546191e-01	-5.547002e+00
1.800000e-02	5.388359e+00	5.545202e-01	-5.545972e-01	-5.547002e+00
2.000000e-02	5.386141e+00	5.544780e-01	-5.545726e-01	-5.547002e+00
2.200000e-02	5.383923e+00	5.544312e-01	-5.545452e-01	-5.547003e+00
2.400000e-02	5.381705e+00	5.543801e-01	-5.545151e-01	-5.547003e+00
2.600000e-02	5.379488e+00	5.543244e-01	-5.544822e-01	-5.547003e+00
2.800000e-02	5.377270e+00	5.542643e-01	-5.544464e-01	-5.547003e+00
3.000000e-02	5.375053e+00	5.541998e-01	-5.544078e-01	-5.547003e+00
3.200000e-02	5.372836e+00	5.541307e-01	-5.543663e-01	-5.547004e+00
3.400000e-02	5.370619e+00	5.540572e-01	-5.543218e-01	-5.547004e+00
3.600000e-02	5.368402e+00	5.539792e-01	-5.542745e-01	-5.547004e+00
3.800000e-02	5.366186e+00	5.538968e-01	-5.542241e-01	-5.547005e+00
4.000000e-02	5.363970e+00	5.538099e-01	-5.541707e-01	-5.547005e+00
4.200000e-02	5.361754e+00	5.537185e-01	-5.541143e-01	-5.547006e+00
4.400000e-02	5.359538e+00	5.536226e-01	-5.540548e-01	-5.547007e+00
4.600000e-02	5.357323e+00	5.535222e-01	-5.539922e-01	-5.547007e+00
4.800000e-02	5.355108e+00	5.534174e-01	-5.539265e-01	-5.547008e+00
5.000000e-02	5.352894e+00	5.533080e-01	-5.538575e-01	-5.547009e+00
5.200000e-02	5.350680e+00	5.531942e-01	-5.537854e-01	-5.547010e+00
5.400000e-02	5.348466e+00	5.530759e-01	-5.537101e-01	-5.547011e+00
5.600000e-02	5.346253e+00	5.529531e-01	-5.536314e-01	-5.547012e+00
5.800000e-02	5.344040e+00	5.528258e-01	-5.535495e-01	-5.547013e+00
6.000000e-02	5.341827e+00	5.526940e-01	-5.534642e-01	-5.547014e+00
6.200000e-02	5.339615e+00	5.525578e-01	-5.533755e-01	-5.547015e+00
6.400000e-02	5.337403e+00	5.524170e-01	-5.532834e-01	-5.547017e+00
6.600000e-02	5.335192e+00	5.522717e-01	-5.531879e-01	-5.547018e+00
6.800000e-02	5.332981e+00	5.521220e-01	-5.530888e-01	-5.547020e+00
7.000000e-02	5.330771e+00	5.519677e-01	-5.529863e-01	-5.547021e+00
7.200000e-02	5.328562e+00	5.518089e-01	-5.528802e-01	-5.547023e+00
7.400000e-02	5.326353e+00	5.516457e-01	-5.527705e-01	-5.547025e+00
7.600000e-02	5.324144e+00	5.514779e-01	-5.526572e-01	-5.547027e+00
7.800000e-02	5.321936e+00	5.513056e-01	-5.525402e-01	-5.547029e+00
8.000000e-02	5.319729e+00	5.511288e-01	-5.524195e-01	-5.547031e+00
8.200000e-02	5.317522e+00	5.509475e-01	-5.522951e-01	-5.547034e+00
8.400000e-02	5.315316e+00	5.507617e-01	-5.521669e-01	-5.547036e+00
8.600000e-02	5.313110e+00	5.505714e-01	-5.520348e-01	-5.547039e+00
8.800000e-02	5.310905e+00	5.503766e-01	-5.518989e-01	-5.547041e+00
